Disease,Symptoms
Typhoid,"abdominal_pain, chills, constipation, diarrhoea, fatigue, high_fever, nausea, vomiting, fever, pain, sym17"
Typhoid,"abdominal_pain, chills, constipation, diarrhoea, fatigue, headache, high_fever, vomiting, fever, pain, sym17"
Typhoid,"abdominal_pain, chills, diarrhoea, fatigue, headache, high_fever, nausea, vomiting, fever, pain, sym17"
Typhoid,"chills, constipation, diarrhoea, fatigue, headache, high_fever, nausea, vomiting, fever, pain, sym17"
Typhoid,"abdominal_pain, chills, constipation, fatigue, headache, high_fever, nausea, vomiting, fever, pain, sym17"
Typhoid,"abdominal_pain, chills, constipation, diarrhoea, fatigue, headache, high_fever, nausea, vomiting, fever, pain, sym17"
Typhoid,"abdominal_pain, chills, constipation, diarrhoea, fatigue, headache, high_fever, nausea, vomiting, fever, pain, sym17"
Typhoid,"abdominal_pain, chills, constipation, diarrhoea, fatigue, headache, high_fever, nausea, vomiting, fever, pain, sym17"
Typhoid,"abdominal_pain, chills, constipation, diarrhoea, fatigue, headache, high_fever, nausea, vomiting, fever, pain, sym17"
Typhoid,"abdominal_pain, chills, constipation, diarrhoea, fatigue, headache, high_fever, nausea, fever, pain, sym17"
hepatitis A,"abdominal_pain, dark_urine, diarrhoea, joint_pain, loss_of_appetite, mild_fever, muscle_pain, nausea, vomiting, yellowing_of_eyes, yellowish_skin, yellow, urine, appetite, loss, eye, skin, fever, pain, muscle, joint"
hepatitis A,"abdominal_pain, dark_urine, diarrhoea, joint_pain, loss_of_appetite, mild_fever, muscle_pain, nausea, vomiting, yellowing_of_eyes, yellowish_skin, yellow, urine, appetite, loss, eye, skin, fever, pain, muscle, joint"
hepatitis A,"abdominal_pain, dark_urine, diarrhoea, loss_of_appetite, mild_fever, muscle_pain, nausea, vomiting, yellowing_of_eyes, yellowish_skin, yellow, urine, appetite, loss, eye, skin, fever, pain, muscle"
hepatitis A,"abdominal_pain, dark_urine, diarrhoea, joint_pain, loss_of_appetite, mild_fever, muscle_pain, nausea, yellowing_of_eyes, yellowish_skin, yellow, urine, appetite, loss, eye, skin, fever, pain, muscle, joint"
hepatitis A,"abdominal_pain, dark_urine, diarrhoea, joint_pain, loss_of_appetite, mild_fever, muscle_pain, nausea, vomiting, yellowing_of_eyes, yellow, urine, appetite, loss, eye, fever, pain, muscle, joint"
hepatitis A,"abdominal_pain, diarrhoea, joint_pain, loss_of_appetite, mild_fever, muscle_pain, nausea, vomiting, yellowing_of_eyes, yellowish_skin, yellow, appetite, loss, eye, skin, fever, pain, muscle, joint"
hepatitis A,"abdominal_pain, dark_urine, diarrhoea, joint_pain, loss_of_appetite, mild_fever, muscle_pain, vomiting, yellowing_of_eyes, yellowish_skin, yellow, urine, appetite, loss, eye, skin, fever, pain, muscle, joint"
hepatitis A,"abdominal_pain, dark_urine, diarrhoea, joint_pain, mild_fever, muscle_pain, nausea, vomiting, yellowing_of_eyes, yellowish_skin, yellow, urine, eye, skin, fever, pain, muscle, joint"
hepatitis A,"dark_urine, diarrhoea, joint_pain, loss_of_appetite, mild_fever, muscle_pain, nausea, vomiting, yellowing_of_eyes, yellowish_skin, yellow, urine, appetite, loss, eye, skin, fever, pain, muscle, joint"
hepatitis A,"abdominal_pain, dark_urine, joint_pain, loss_of_appetite, mild_fever, muscle_pain, nausea, vomiting, yellowing_of_eyes, yellowish_skin, yellow, urine, appetite, loss, eye, skin, fever, pain, muscle, joint"
Hepatitis B,"abdominal_pain, dark_urine, fatigue, itching, lethargy, loss_of_appetite, malaise, yellowing_of_eyes, yellowish_skin, yellow, itch, urine, appetite, blood, receive, loss, eye, skin, pain, sym13"
Hepatitis B,"abdominal_pain, dark_urine, fatigue, itching, lethargy, loss_of_appetite, malaise, yellowing_of_eyes, yellowish_skin, yellow, itch, urine, appetite, blood, receive, loss, eye, skin, pain, sym13"
Hepatitis B,"abdominal_pain, dark_urine, fatigue, lethargy, loss_of_appetite, malaise, yellowing_of_eyes, yellowish_skin, yellow, urine, appetite, blood, receive, loss, eye, skin, pain, sym13"
Hepatitis B,"abdominal_pain, dark_urine, itching, lethargy, loss_of_appetite, malaise, yellowing_of_eyes, yellowish_skin, yellow, itch, urine, appetite, blood, receive, loss, eye, skin, pain, sym13"
Hepatitis B,"abdominal_pain, dark_urine, fatigue, itching, loss_of_appetite, malaise, yellowing_of_eyes, yellowish_skin, yellow, itch, urine, appetite, blood, receive, loss, eye, skin, pain, sym13"
Hepatitis B,"abdominal_pain, dark_urine, fatigue, itching, lethargy, loss_of_appetite, malaise, yellowing_of_eyes, yellow, itch, urine, appetite, blood, receive, loss, eye, pain, sym13"
Hepatitis B,"abdominal_pain, fatigue, itching, lethargy, loss_of_appetite, malaise, yellowing_of_eyes, yellowish_skin, yellow, itch, urine, appetite, blood, receive, loss, eye, skin, pain, sym13"
Hepatitis B,"abdominal_pain, dark_urine, fatigue, itching, lethargy, malaise, yellowing_of_eyes, yellowish_skin, yellow, itch, urine, blood, receive, eye, skin, pain, sym13"
Hepatitis B,"dark_urine, fatigue, itching, lethargy, loss_of_appetite, malaise, yellowing_of_eyes, yellowish_skin, yellow, itch, urine, appetite, blood, receive, loss, eye, skin, sym13"
Hepatitis B,"abdominal_pain, dark_urine, fatigue, itching, lethargy, loss_of_appetite, malaise, yellowing_of_eyes, yellowish_skin, yellow, itch, urine, appetite, blood, receive, loss, eye, skin, pain, sym13"
Hepatitis C,"family_history, fatigue, loss_of_appetite, nausea, yellowish_skin, yellow, appetite, loss, history, skin"
Hepatitis C,"family_history, fatigue, loss_of_appetite, nausea, yellowing_of_eyes, yellowish_skin, yellow, appetite, loss, eye, history, skin"
Hepatitis C,"family_history, loss_of_appetite, nausea, yellowing_of_eyes, yellowish_skin, yellow, appetite, loss, eye, history, skin"
Hepatitis C,"family_history, fatigue, loss_of_appetite, nausea, yellowing_of_eyes, yellow, appetite, loss, eye, history"
Hepatitis C,"family_history, fatigue, loss_of_appetite, yellowing_of_eyes, yellowish_skin, yellow, appetite, loss, eye, history, skin"
Hepatitis C,"family_history, fatigue, nausea, yellowing_of_eyes, yellowish_skin, yellow, eye, history, skin"
Hepatitis C,"family_history, fatigue, loss_of_appetite, nausea, yellowish_skin, yellow, appetite, loss, history, skin"
Hepatitis C,"fatigue, loss_of_appetite, nausea, yellowing_of_eyes, yellowish_skin, yellow, appetite, loss, eye, skin"
Hepatitis C,"family_history, fatigue, loss_of_appetite, nausea, yellowing_of_eyes, yellowish_skin, yellow, appetite, loss, eye, history, skin"
Hepatitis C,"family_history, fatigue, loss_of_appetite, nausea, yellowing_of_eyes, yellowish_skin, yellow, appetite, loss, eye, history, skin"
Hepatitis D,"abdominal_pain, dark_urine, fatigue, joint_pain, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin, yellow, urine, appetite, loss, eye, skin, pain, joint"
Hepatitis D,"abdominal_pain, dark_urine, fatigue, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin, yellow, urine, appetite, loss, eye, skin, pain"
Hepatitis D,"abdominal_pain, dark_urine, fatigue, joint_pain, loss_of_appetite, nausea, yellowing_of_eyes, yellowish_skin, yellow, urine, appetite, loss, eye, skin, pain, joint"
Hepatitis D,"abdominal_pain, dark_urine, joint_pain, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin, yellow, urine, appetite, loss, eye, skin, pain, joint"
Hepatitis D,"abdominal_pain, dark_urine, fatigue, joint_pain, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellow, urine, appetite, loss, eye, pain, joint"
Hepatitis D,"abdominal_pain, fatigue, joint_pain, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin, yellow, appetite, loss, eye, skin, pain, joint"
Hepatitis D,"abdominal_pain, dark_urine, fatigue, joint_pain, loss_of_appetite, vomiting, yellowing_of_eyes, yellowish_skin, yellow, urine, appetite, loss, eye, skin, pain, joint"
Hepatitis D,"abdominal_pain, dark_urine, fatigue, joint_pain, nausea, vomiting, yellowing_of_eyes, yellowish_skin, yellow, urine, eye, skin, pain, joint"
Hepatitis D,"dark_urine, fatigue, joint_pain, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin, yellow, urine, appetite, loss, eye, skin, pain, joint"
Hepatitis D,"abdominal_pain, dark_urine, fatigue, joint_pain, loss_of_appetite, nausea, vomiting, yellowish_skin, yellow, urine, appetite, loss, skin, pain, joint"
Hepatitis E,"abdominal_pain, dark_urine, fatigue, high_fever, joint_pain, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin, stomach, yellow, urine, appetite, loss, eye, skin, fever, pain, joint, sym2"
Hepatitis E,"abdominal_pain, dark_urine, fatigue, high_fever, joint_pain, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin, stomach, yellow, urine, appetite, loss, eye, skin, fever, pain, joint, sym2"
Hepatitis E,"abdominal_pain, dark_urine, fatigue, high_fever, joint_pain, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin, stomach, yellow, urine, appetite, loss, eye, skin, fever, pain, joint, sym2"
Hepatitis E,"abdominal_pain, dark_urine, fatigue, high_fever, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin, stomach, yellow, urine, appetite, loss, eye, skin, fever, pain, sym2"
Hepatitis E,"abdominal_pain, dark_urine, fatigue, high_fever, joint_pain, loss_of_appetite, nausea, yellowing_of_eyes, yellowish_skin, stomach, yellow, urine, appetite, loss, eye, skin, fever, pain, joint, sym2"
Hepatitis E,"abdominal_pain, dark_urine, high_fever, joint_pain, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin, stomach, yellow, urine, appetite, loss, eye, skin, fever, pain, joint, sym2"
Hepatitis E,"abdominal_pain, dark_urine, fatigue, joint_pain, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin, stomach, yellow, urine, appetite, loss, eye, skin, pain, joint, sym2"
Hepatitis E,"abdominal_pain, dark_urine, fatigue, high_fever, joint_pain, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, stomach, yellow, urine, appetite, loss, eye, fever, pain, joint, sym2"
Hepatitis E,"abdominal_pain, fatigue, high_fever, joint_pain, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin, stomach, yellow, appetite, loss, eye, skin, fever, pain, joint, sym2"
Hepatitis E,"abdominal_pain, dark_urine, fatigue, high_fever, joint_pain, loss_of_appetite, vomiting, yellowing_of_eyes, yellowish_skin, stomach, yellow, urine, appetite, loss, eye, skin, fever, pain, joint, sym2"
Alcoholic hepatitis,"abdominal_pain, vomiting, yellowish_skin, stomach, yellow, history, skin, swell, pain, sym6"
Alcoholic hepatitis,"abdominal_pain, vomiting, yellowish_skin, stomach, yellow, history, skin, swell, pain, sym6"
Alcoholic hepatitis,"abdominal_pain, yellowish_skin, stomach, yellow, history, skin, swell, pain, sym6"
Alcoholic hepatitis,"abdominal_pain, vomiting, stomach, history, swell, pain, sym6"
Alcoholic hepatitis,"vomiting, yellowish_skin, stomach, yellow, history, skin, swell, sym6"
Alcoholic hepatitis,"abdominal_pain, vomiting, yellowish_skin, yellow, history, skin, pain, sym6"
Alcoholic hepatitis,"abdominal_pain, vomiting, yellowish_skin, stomach, yellow, history, skin, swell, pain, sym6"
Alcoholic hepatitis,"abdominal_pain, vomiting, yellowish_skin, stomach, yellow, skin, swell, pain, sym6"
Alcoholic hepatitis,"abdominal_pain, vomiting, yellowish_skin, stomach, yellow, history, skin, swell, pain, sym6"
Alcoholic hepatitis,"abdominal_pain, vomiting, yellowish_skin, stomach, yellow, history, skin, swell, pain, sym6"
Tuberculosis,"blood_in_sputum, breathlessness, chest_pain, chills, cough, fatigue, high_fever, loss_of_appetite, malaise, mild_fever, phlegm, sweating, swelled_lymph_nodes, vomiting, weight_loss, yellowing_of_eyes, yellow, appetite, blood, weight, loss, eye, fever, swell, pain, sputum"
Tuberculosis,"blood_in_sputum, breathlessness, chest_pain, chills, cough, fatigue, high_fever, loss_of_appetite, malaise, mild_fever, phlegm, sweating, swelled_lymph_nodes, vomiting, weight_loss, yellowing_of_eyes, yellow, appetite, blood, weight, loss, eye, fever, swell, pain, sputum"
Tuberculosis,"blood_in_sputum, breathlessness, chest_pain, cough, fatigue, high_fever, loss_of_appetite, malaise, mild_fever, phlegm, sweating, swelled_lymph_nodes, vomiting, weight_loss, yellowing_of_eyes, yellow, appetite, blood, weight, loss, eye, fever, swell, pain, sputum"
Tuberculosis,"blood_in_sputum, breathlessness, chest_pain, chills, cough, fatigue, high_fever, loss_of_appetite, malaise, mild_fever, phlegm, sweating, swelled_lymph_nodes, weight_loss, yellowing_of_eyes, yellow, appetite, blood, weight, loss, eye, fever, swell, pain, sputum"
Tuberculosis,"blood_in_sputum, breathlessness, chest_pain, chills, cough, high_fever, loss_of_appetite, malaise, mild_fever, phlegm, sweating, swelled_lymph_nodes, vomiting, weight_loss, yellowing_of_eyes, yellow, appetite, blood, weight, loss, eye, fever, swell, pain, sputum"
Tuberculosis,"blood_in_sputum, breathlessness, chest_pain, chills, cough, fatigue, high_fever, loss_of_appetite, malaise, mild_fever, phlegm, sweating, swelled_lymph_nodes, vomiting, yellowing_of_eyes, yellow, appetite, blood, loss, eye, fever, swell, pain, sputum"
Tuberculosis,"blood_in_sputum, breathlessness, chest_pain, chills, fatigue, high_fever, loss_of_appetite, malaise, mild_fever, phlegm, sweating, swelled_lymph_nodes, vomiting, weight_loss, yellowing_of_eyes, yellow, appetite, blood, weight, loss, eye, fever, swell, pain, sputum"
Tuberculosis,"blood_in_sputum, breathlessness, chest_pain, chills, cough, fatigue, loss_of_appetite, malaise, mild_fever, phlegm, sweating, swelled_lymph_nodes, vomiting, weight_loss, yellowing_of_eyes, yellow, appetite, blood, weight, loss, eye, fever, swell, pain, sputum"
Tuberculosis,"blood_in_sputum, chest_pain, chills, cough, fatigue, high_fever, loss_of_appetite, malaise, mild_fever, phlegm, sweating, swelled_lymph_nodes, vomiting, weight_loss, yellowing_of_eyes, yellow, appetite, blood, weight, loss, eye, fever, swell, pain, sputum"
Tuberculosis,"blood_in_sputum, breathlessness, chest_pain, chills, cough, fatigue, high_fever, loss_of_appetite, malaise, mild_fever, phlegm, swelled_lymph_nodes, vomiting, weight_loss, yellowing_of_eyes, yellow, appetite, blood, weight, loss, eye, fever, swell, pain, sputum"
Common Cold,"chest_pain, chills, continuous_sneezing, cough, fatigue, headache, high_fever, malaise, muscle_pain, phlegm, swelled_lymph_nodes, red, continuous, irritation, throat, loss, eye, fever, swell, pain, muscle, nose, sym10"
Common Cold,"chest_pain, chills, continuous_sneezing, cough, fatigue, headache, high_fever, malaise, muscle_pain, phlegm, swelled_lymph_nodes, red, continuous, irritation, throat, loss, eye, fever, swell, pain, muscle, nose, sym10"
Common Cold,"chest_pain, chills, cough, fatigue, headache, high_fever, malaise, muscle_pain, phlegm, swelled_lymph_nodes, red, irritation, throat, loss, eye, fever, swell, pain, muscle, nose, sym10"
Common Cold,"chest_pain, continuous_sneezing, cough, fatigue, headache, high_fever, malaise, muscle_pain, phlegm, swelled_lymph_nodes, red, continuous, irritation, throat, loss, eye, fever, swell, pain, muscle, nose, sym10"
Common Cold,"chest_pain, chills, continuous_sneezing, cough, headache, high_fever, malaise, muscle_pain, phlegm, swelled_lymph_nodes, red, continuous, irritation, throat, loss, eye, fever, swell, pain, muscle, nose, sym10"
Common Cold,"chest_pain, chills, continuous_sneezing, fatigue, headache, high_fever, malaise, muscle_pain, phlegm, swelled_lymph_nodes, red, continuous, irritation, throat, loss, eye, fever, swell, pain, muscle, nose, sym10"
Common Cold,"chest_pain, chills, continuous_sneezing, cough, fatigue, headache, malaise, muscle_pain, phlegm, swelled_lymph_nodes, red, continuous, irritation, throat, loss, eye, swell, pain, muscle, nose, sym10"
Common Cold,"chest_pain, chills, continuous_sneezing, cough, fatigue, high_fever, malaise, muscle_pain, phlegm, swelled_lymph_nodes, red, continuous, irritation, throat, loss, eye, fever, swell, pain, muscle, nose, sym10"
Common Cold,"chest_pain, chills, continuous_sneezing, cough, fatigue, headache, high_fever, malaise, muscle_pain, phlegm, red, continuous, irritation, throat, loss, eye, fever, pain, muscle, nose, sym10"
Common Cold,"chest_pain, chills, continuous_sneezing, cough, fatigue, headache, high_fever, muscle_pain, phlegm, swelled_lymph_nodes, red, continuous, irritation, throat, loss, eye, fever, swell, pain, muscle, nose, sym10"
Pneumonia,"breathlessness, chest_pain, chills, cough, fast_heart_rate, fatigue, high_fever, malaise, rusty_sputum, sweating, fever, pain, sputum"
Pneumonia,"breathlessness, chest_pain, chills, cough, fast_heart_rate, fatigue, high_fever, malaise, phlegm, rusty_sputum, sweating, fever, pain, sputum"
Pneumonia,"breathlessness, chest_pain, chills, cough, fast_heart_rate, fatigue, high_fever, malaise, phlegm, rusty_sputum, sweating, fever, pain, sputum"
Pneumonia,"breathlessness, chest_pain, cough, fast_heart_rate, fatigue, high_fever, malaise, phlegm, rusty_sputum, sweating, fever, pain, sputum"
Pneumonia,"breathlessness, chest_pain, chills, cough, fast_heart_rate, high_fever, malaise, phlegm, rusty_sputum, sweating, fever, pain, sputum"
Pneumonia,"breathlessness, chest_pain, chills, fast_heart_rate, fatigue, high_fever, malaise, phlegm, rusty_sputum, sweating, fever, pain, sputum"
Pneumonia,"breathlessness, chest_pain, chills, cough, fast_heart_rate, fatigue, malaise, phlegm, rusty_sputum, sweating, pain, sputum"
Pneumonia,"chest_pain, chills, cough, fast_heart_rate, fatigue, high_fever, malaise, phlegm, rusty_sputum, sweating, fever, pain, sputum"
Pneumonia,"breathlessness, chest_pain, chills, cough, fast_heart_rate, fatigue, high_fever, malaise, phlegm, rusty_sputum, fever, pain, sputum"
Pneumonia,"breathlessness, chest_pain, chills, cough, fast_heart_rate, fatigue, high_fever, phlegm, rusty_sputum, sweating, fever, pain, sputum"
Dimorphic hemmorhoids(piles),"constipation, irritation, blood, movement, pain, sym8"
Dimorphic hemmorhoids(piles),"constipation, irritation, blood, movement, pain, sym8"
Dimorphic hemmorhoids(piles),"constipation, irritation, blood, movement, pain, sym8"
Dimorphic hemmorhoids(piles),"irritation, blood, movement, pain, sym8"
Dimorphic hemmorhoids(piles),"constipation, irritation, blood, pain, sym8"
Dimorphic hemmorhoids(piles),"constipation, irritation, blood, movement, pain, sym8"
Dimorphic hemmorhoids(piles),"constipation, irritation, movement, pain, sym8"
Dimorphic hemmorhoids(piles),"constipation, blood, movement, pain, sym8"
Dimorphic hemmorhoids(piles),"constipation, irritation, blood, movement, pain, sym8"
Dimorphic hemmorhoids(piles),"constipation, irritation, blood, movement, pain, sym8"
Heart attack,"breathlessness, chest_pain, sweating, vomiting, pain"
Heart attack,"breathlessness, chest_pain, sweating, vomiting, pain"
Heart attack,"breathlessness, chest_pain, sweating, pain"
Heart attack,"chest_pain, sweating, vomiting, pain"
Heart attack,"breathlessness, chest_pain, vomiting, pain"
Heart attack,"breathlessness, sweating, vomiting"
Heart attack,"breathlessness, chest_pain, sweating, vomiting, pain"
Heart attack,"breathlessness, chest_pain, sweating, pain"
Heart attack,"chest_pain, sweating, vomiting, pain"
Heart attack,"breathlessness, chest_pain, vomiting, pain"
Varicose veins,"fatigue, obesity, blood, swollen, sym4"
Varicose veins,"fatigue, obesity, blood, swollen, sym4"
Varicose veins,"obesity, blood, swollen, sym4"
Varicose veins,"fatigue, obesity, blood, swollen, sym4"
Varicose veins,"fatigue, obesity, blood, swollen, sym4"
Varicose veins,"fatigue, blood, swollen, sym4"
Varicose veins,"fatigue, obesity, blood, swollen, sym4"
Varicose veins,"fatigue, obesity, swollen, sym4"
Varicose veins,"fatigue, obesity, blood, swollen, sym4"
Varicose veins,"fatigue, obesity, swollen, sym4"
Hypothyroidism,"depression, dizziness, fatigue, irritability, lethargy, weight, eye, nail, swollen, sym1, sym11"
Hypothyroidism,"depression, dizziness, fatigue, irritability, lethargy, weight, eye, nail, swollen, sym1, sym11"
Hypothyroidism,"depression, dizziness, irritability, lethargy, weight, eye, nail, swollen, sym1, sym11"
Hypothyroidism,"depression, dizziness, irritability, lethargy, weight, eye, nail, swollen, sym1, sym11"
Hypothyroidism,"depression, dizziness, fatigue, irritability, lethargy, eye, nail, swollen, sym1, sym11"
Hypothyroidism,"depression, dizziness, fatigue, irritability, lethargy, weight, eye, nail, swollen, sym1, sym11"
Hypothyroidism,"depression, dizziness, fatigue, irritability, lethargy, weight, eye, nail, swollen, sym1, sym11"
Hypothyroidism,"depression, dizziness, fatigue, irritability, weight, eye, nail, swollen, sym1, sym11"
Hypothyroidism,"depression, fatigue, irritability, lethargy, weight, eye, nail, swollen, sym1, sym11"
Hypothyroidism,"depression, dizziness, fatigue, irritability, lethargy, weight, nail, swollen, sym1, sym11"
Hyperthyroidism,"diarrhoea, excessive_hunger, fast_heart_rate, fatigue, irritability, muscle_weakness, restlessness, sweating, weight_loss, weight, loss, weakness, muscle, sym11"
Hyperthyroidism,"diarrhoea, excessive_hunger, fast_heart_rate, fatigue, irritability, muscle_weakness, restlessness, sweating, weight_loss, weight, loss, weakness, muscle, sym11"
Hyperthyroidism,"diarrhoea, excessive_hunger, fast_heart_rate, irritability, muscle_weakness, restlessness, sweating, weight_loss, weight, loss, weakness, muscle, sym11"
Hyperthyroidism,"diarrhoea, excessive_hunger, fast_heart_rate, fatigue, irritability, muscle_weakness, restlessness, sweating, weight_loss, weight, loss, weakness, muscle, sym11"
Hyperthyroidism,"diarrhoea, excessive_hunger, fast_heart_rate, fatigue, irritability, muscle_weakness, restlessness, sweating, weakness, muscle, sym11"
Hyperthyroidism,"diarrhoea, excessive_hunger, fast_heart_rate, fatigue, irritability, muscle_weakness, sweating, weight_loss, weight, loss, weakness, muscle, sym11"
Hyperthyroidism,"diarrhoea, excessive_hunger, fast_heart_rate, fatigue, irritability, muscle_weakness, restlessness, weight_loss, weight, loss, weakness, muscle, sym11"
Hyperthyroidism,"excessive_hunger, fast_heart_rate, fatigue, irritability, muscle_weakness, restlessness, sweating, weight_loss, weight, loss, weakness, muscle, sym11"
Hyperthyroidism,"diarrhoea, excessive_hunger, fatigue, irritability, muscle_weakness, restlessness, sweating, weight_loss, weight, loss, weakness, muscle, sym11"
Hyperthyroidism,"diarrhoea, fast_heart_rate, fatigue, irritability, muscle_weakness, restlessness, sweating, weight_loss, weight, loss, weakness, muscle, sym11"
Hypoglycemia,"blurred_and_distorted_vision, excessive_hunger, fatigue, headache, irritability, nausea, sweating, vomiting, sym5"
Hypoglycemia,"blurred_and_distorted_vision, excessive_hunger, fatigue, headache, irritability, nausea, sweating, vomiting, sym5"
Hypoglycemia,"blurred_and_distorted_vision, excessive_hunger, fatigue, headache, irritability, nausea, sweating, vomiting, sym5"
Hypoglycemia,"blurred_and_distorted_vision, excessive_hunger, fatigue, headache, irritability, nausea, sweating, sym5"
Hypoglycemia,"blurred_and_distorted_vision, excessive_hunger, headache, irritability, nausea, sweating, vomiting, sym5"
Hypoglycemia,"blurred_and_distorted_vision, excessive_hunger, fatigue, headache, irritability, nausea, sweating, vomiting, sym5"
Hypoglycemia,"blurred_and_distorted_vision, excessive_hunger, fatigue, headache, irritability, nausea, vomiting, sym5"
Hypoglycemia,"blurred_and_distorted_vision, excessive_hunger, fatigue, irritability, nausea, sweating, vomiting, sym5"
Hypoglycemia,"blurred_and_distorted_vision, excessive_hunger, fatigue, headache, irritability, sweating, vomiting, sym5"
Hypoglycemia,"excessive_hunger, fatigue, headache, irritability, nausea, sweating, vomiting, sym5"
Osteoarthristis,"joint_pain, neck_pain, neck, swell, pain, joint, sym9, sym16"
Osteoarthristis,"joint_pain, neck_pain, neck, swell, pain, joint, sym9, sym16"
Osteoarthristis,"neck_pain, neck, swell, pain, joint, sym9, sym16"
Osteoarthristis,"joint_pain, swell, pain, joint, sym9, sym16"
Osteoarthristis,"joint_pain, neck_pain, neck, swell, pain, joint, sym9, sym16"
Osteoarthristis,"joint_pain, neck_pain, neck, swell, pain, joint, sym9, sym16"
Osteoarthristis,"joint_pain, neck_pain, neck, pain, joint, sym9, sym16"
Osteoarthristis,"joint_pain, neck_pain, neck, swell, pain, joint, sym9, sym16"
Osteoarthristis,"joint_pain, neck_pain, neck, swell, pain, joint, sym9, sym16"
Osteoarthristis,"joint_pain, neck_pain, neck, swell, pain, joint, sym9, sym16"
Arthritis,"movement_stiffness, muscle_weakness, stiff_neck, movement, neck, swell, weakness, pain, muscle, stiff, joint, sym16"
Arthritis,"movement_stiffness, muscle_weakness, stiff_neck, movement, neck, swell, weakness, pain, muscle, stiff, joint, sym16"
Arthritis,"movement_stiffness, stiff_neck, movement, neck, swell, pain, stiff, joint, sym16"
Arthritis,"movement_stiffness, muscle_weakness, movement, swell, weakness, pain, muscle, stiff, joint, sym16"
Arthritis,"movement_stiffness, muscle_weakness, stiff_neck, movement, neck, weakness, pain, muscle, stiff, sym16"
Arthritis,"muscle_weakness, stiff_neck, neck, swell, weakness, pain, muscle, stiff, joint, sym16"
Arthritis,"movement_stiffness, muscle_weakness, stiff_neck, movement, neck, swell, weakness, pain, muscle, stiff, joint, sym16"
Arthritis,"movement_stiffness, muscle_weakness, stiff_neck, movement, neck, swell, weakness, muscle, stiff, joint, sym16"
Arthritis,"movement_stiffness, muscle_weakness, stiff_neck, movement, neck, swell, weakness, pain, muscle, stiff, joint, sym16"
Arthritis,"movement_stiffness, muscle_weakness, stiff_neck, movement, neck, swell, weakness, pain, muscle, stiff, joint, sym16"
(vertigo) Paroymsal  Positional Vertigo,"headache, loss_of_balance, nausea, vomiting, loss, movement, sym18"
(vertigo) Paroymsal  Positional Vertigo,"headache, loss_of_balance, nausea, vomiting, loss, movement, sym18"
(vertigo) Paroymsal  Positional Vertigo,"headache, loss_of_balance, nausea, loss, movement, sym18"
(vertigo) Paroymsal  Positional Vertigo,"loss_of_balance, nausea, vomiting, loss, movement, sym18"
(vertigo) Paroymsal  Positional Vertigo,"headache, loss_of_balance, vomiting, loss, movement, sym18"
(vertigo) Paroymsal  Positional Vertigo,"headache, loss_of_balance, nausea, vomiting, loss, sym18"
(vertigo) Paroymsal  Positional Vertigo,"headache, nausea, vomiting, movement, sym18"
(vertigo) Paroymsal  Positional Vertigo,"headache, loss_of_balance, nausea, vomiting, loss, movement, sym18"
(vertigo) Paroymsal  Positional Vertigo,"headache, loss_of_balance, nausea, vomiting, loss, movement, sym18"
(vertigo) Paroymsal  Positional Vertigo,"headache, loss_of_balance, nausea, vomiting, loss, sym18"
Acne,"blackheads, pus_filled_pimples, scurring, skin_rash, skin"
Acne,"blackheads, pus_filled_pimples, scurring, skin_rash, skin"
Acne,"blackheads, pus_filled_pimples, scurring"
Acne,"blackheads, scurring, skin_rash, skin"
Acne,"pus_filled_pimples, scurring, skin_rash, skin"
Acne,"blackheads, pus_filled_pimples, skin_rash, skin"
Acne,"blackheads, pus_filled_pimples, scurring, skin_rash, skin"
Acne,"blackheads, pus_filled_pimples, skin_rash, skin"
Acne,"pus_filled_pimples, scurring, skin_rash, skin"
Acne,"blackheads, scurring, skin_rash, skin"
Urinary tract infection,"burning_micturition, foul_smell_ofurine, continuous, urine, sym3"
Urinary tract infection,"burning_micturition, foul_smell_ofurine, continuous, urine, sym3"
Urinary tract infection,"foul_smell_ofurine, continuous, urine, sym3"
Urinary tract infection,"burning_micturition, foul_smell_ofurine, continuous, urine, sym3"
Urinary tract infection,"burning_micturition, continuous, urine, sym3"
Urinary tract infection,"burning_micturition, foul_smell_ofurine, urine, sym3"
Urinary tract infection,"burning_micturition, foul_smell_ofurine, continuous, urine, sym3"
Urinary tract infection,"burning_micturition, continuous, urine, sym3"
Urinary tract infection,"foul_smell_ofurine, continuous, urine, sym3"
Urinary tract infection,"burning_micturition, continuous, urine, sym3"
